NAME,TYPE,DECADE,MEDIA URL,DATE,DIMSENSIONS (CM)
Mourning Pin,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.79_1,1790,6.8 x 5.7
Captain Charles McKnight,Painting,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1968.137_1,1800,73.1 x 61.1
"Samuel Love, Jr.",Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1942.10.4_1,1800,7.3 x 5.9
George Washington,Painting,1800-1809,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2012_90GW-000001,1800,77.5 × 64.8
John Winthrop,Painting,1800-1809,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2004_1,1800,74.6 x 62.2
Ann Elliott Morris,Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_95_116Morris_int,1800,8.1cm x 6.3
"Col. Lewis Morris, IV",Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=NPG-9500236A_1,1800,8.1cm x 6.5
Margaret Spear Smith,Painting,1800-1809,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_66_64,1800,73.7 x 61
Samuel Smith,Painting,1800-1809,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_66_50Smith-000002,1800,74.3 × 61.9
Samuel Miles,Painting,1800-1809,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2019_22-000002,1800,74.3 × 59.1
John Swanwick,Painting,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-2010.16.2_1,1800,90.8 x 78.4
Portrait of a Gentleman,Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.78_1,1800,6.9 x 5.3
Eye Miniature on an Elliptical Ivory Box,Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.77_1,1800,1.9 x 3.4
